geneid	P1vsN1	P2vsN2	P3vsN3
WBGene00006974	1.80334975	0.481463038	0.404808231
WBGene00220029	1.80334975	0.481463038	0.404808231
WBGene00045167	1.34267762	1.09E-05	0.178596328
WBGene00021863	1.2209187	-7.99E-07	0.089609038
WBGene00006763	1.432719977	1.44E-05	0.203172096
WBGene00022601	1.150868436	2.80E-06	0.007731752
WBGene00022603	1.150868436	2.80E-06	0.007731752
WBGene00045375	1.31884994	1.22E-05	0.361066022
WBGene00219425	1.158312847	3.31E-06	0.075354394
WBGene00015386	1.364899843	-7.18E-07	0.066574616
WBGene00003002	1.364899843	-7.18E-07	0.066574616
WBGene00013530	1.404736745	9.21E-06	0.243828327
WBGene00018259	0.694010846	3.32E-06	-0.064673418
WBGene00015477	0.867545172	4.50E-06	0.046127667
WBGene00021458	0.906802096	6.76E-06	-0.226880449
WBGene00010163	0.938737742	5.59E-06	0.151057017
WBGene00014577	1.000574619	1.23E-05	-0.052027179
WBGene00021877	0.756915139	3.73E-06	0.018153591
WBGene00219424	0.756915139	3.73E-06	0.018153591
WBGene00023483	1.188801275	7.74E-06	-0.125301431
WBGene00004509	1.025891803	2.05E-06	0.185264648
WBGene00014378	0.927973787	1.43E-05	0.312327247
WBGene00006698	1.49842498	0.79196428	0.070207648
WBGene00003387	1.055158529	2.96E-06	0.010306053
WBGene00043067	0.911938818	3.41E-06	0.019553868
WBGene00005903	1.258729291	8.01E-06	-0.040233154
WBGene00003829	1.600264507	3.01E-06	-0.008070864
WBGene00009951	1.600264507	3.01E-06	-0.008070864
WBGene00012977	1.012247647	4.25E-06	0.024566837
WBGene00012268	0.96914982	9.34E-06	0.037465889
WBGene00006405	0.960606232	-2.90E-06	-0.050054674
WBGene00006698	0.960606232	-2.90E-06	-0.050054674
WBGene00001393	0.78130119	1.92E-06	-0.11508052
WBGene00012328	1.31330796	3.09E-06	0.034342176
WBGene00014405	0.970143254	4.66E-06	0.07729981
WBGene00009923	0.840356994	3.56E-06	-0.017271607
WBGene00004063	1.104056944	3.86E-06	0.09269275
WBGene00021689	1.247650842	3.39E-06	0.046284709
WBGene00011826	0.718231945	-1.43E-05	-0.043366984
WBGene00009951	0.968247525	-6.95E-06	0.018176655
WBGene00000802	1.036378759	-2.39E-06	-0.092998109
WBGene00015635	0.888172818	1.97E-07	-0.015617611
WBGene00045416	1.262079614	4.58E-06	-0.006910915
WBGene00010176	0.86309547	7.64E-06	-0.057296646
WBGene00235300	0.973707809	4.38E-06	-0.033892922
WBGene00012522	0.964550815	-5.55E-07	0.042121548
WBGene00011833	1.054311438	4.21E-06	-0.094774091
WBGene00003644	0.770492246	5.09E-06	-0.014001517
WBGene00018998	0.82848941	2.15E-06	-0.011171135
WBGene00014000	0.945926402	-3.16E-06	-0.080497111
WBGene00013876	0.703208629	-3.13E-06	0.052415228
WBGene00013580	1.014793422	-3.99E-07	0.158450302
WBGene00235247	0.794430592	1.05E-05	0.38189173
WBGene00000102	0.684831924	0.374051043	-0.007809585
WBGene00004405	0.684831924	0.374051043	-0.007809585
WBGene00000797	0.802631935	-1.91E-07	-0.004822135
WBGene00019858	0.894848117	5.58E-06	0.186685391
WBGene00000460	0.603473159	1.38E-06	0.134827964
WBGene00022361	0.81622204	3.08E-06	0.069019487
WBGene00010731	0.673925591	-1.07E-05	-0.038823429
WBGene00045089	0.636486389	5.71E-06	-0.008467744
WBGene00020929	0.727226316	1.53E-05	0.008972417
WBGene00045170	0.59971027	6.77E-06	0.037744611
WBGene00001077	0.809730682	-2.64E-06	0.049102091
WBGene00014941	0.668564844	-1.84E-06	-0.050573798
WBGene00001393	0.668564844	-1.84E-06	-0.050573798
WBGene00019055	0.959922184	-2.06E-06	-0.087228024
WBGene00019060	0.959922184	-2.06E-06	-0.087228024
WBGene00007089	0.689000398	1.10E-05	-0.004634165
WBGene00015811	0.789002696	1.12E-06	-0.033165587
WBGene00021556	0.73639666	-4.56E-06	-0.119315352
WBGene00003002	0.98998699	3.52E-06	0.043961676
WBGene00015386	0.98998699	3.52E-06	0.043961676
WBGene00007089	0.749157622	4.38E-06	0.018360718
WBGene00045416	1.145272938	-2.91E-06	0.007399768
WBGene00007724	1.080787024	6.07E-06	0.028635975
WBGene00021671	0.608161474	6.87E-06	0.059718324
WBGene00013718	0.495387432	-1.65E-06	-0.097616811
WBGene00008594	0.433245566	-9.15E-07	0.101205266
WBGene00023515	0.433245566	-9.15E-07	0.101205266
WBGene00014941	0.762190383	5.26E-07	-0.086958551
WBGene00012867	0.868890506	-6.84E-06	0.012218175
WBGene00003368	0.565486873	-2.83E-06	-0.017505208
WBGene00001394	0.744219495	5.44E-06	-0.043084516
WBGene00019521	0.611492573	-1.69E-06	0.083050811
WBGene00013340	0.714773264	-1.13E-06	-0.061086985
WBGene00012943	0.630814769	-3.77E-06	-0.224250174
WBGene00004360	0.646511868	-1.06E-06	0.002559445
WBGene00002393	0.691001548	8.91E-07	-0.050088794
WBGene00021475	0.709797579	-5.14E-07	-0.044850189
WBGene00021466	0.709797579	-5.14E-07	-0.044850189
WBGene00018734	0.631663721	-6.38E-06	-0.025281966
WBGene00019590	0.849640208	-6.77E-06	-0.013406483
WBGene00016156	0.770723996	4.41E-06	-0.049832222
WBGene00220172	0.576833254	-3.94E-06	-0.026886955
WBGene00003602	0.547383402	-3.45E-06	0.137540512
WBGene00021260	0.596971637	4.58E-06	-0.043732571
WBGene00023172	0.620491153	1.28E-05	0.05028151
WBGene00018997	0.744932465	4.74E-06	-0.059039993
WBGene00003002	0.456310286	-5.73E-06	-0.040285056
WBGene00015386	0.456310286	-5.73E-06	-0.040285056
WBGene00012531	0.808076763	8.72E-06	0.009919941
WBGene00016655	0.631624744	2.38E-07	-0.035972481
WBGene00021979	0.624706166	3.39E-06	0.058279199
WBGene00194815	0.701832102	3.42E-06	-0.605984722
WBGene00235164	0.660968955	-4.72E-06	0.037361584
WBGene00001397	0.829656172	7.31E-06	0.080797882
WBGene00044141	0.860309633	-6.87E-07	0.044856065
WBGene00003735	0.560872646	3.76E-07	-0.009577297
WBGene00010851	0.989460257	8.13E-06	-0.042469284
WBGene00012531	0.717693376	1.07E-05	0.013855634
WBGene00018998	0.661117442	2.60E-06	-0.113213178
WBGene00003916	0.42408793	-7.13E-06	0.014789882
WBGene00008578	0.502149468	-5.84E-06	-0.023765362
WBGene00004809	0.634665029	1.48E-06	-0.061708896
WBGene00004405	0.755082905	2.84E-06	-0.061740862
WBGene00004167	0.475048698	-1.36E-05	0.0142843
WBGene00044051	0.475048698	-1.36E-05	0.0142843
WBGene00014589	0.701179899	3.16E-06	-0.004968878
WBGene00014312	0.480252334	1.39E-05	0.027709948
WBGene00008579	0.480252334	1.39E-05	0.027709948
WBGene00013094	0.480252334	1.39E-05	0.027709948
WBGene00003916	0.473471476	-6.39E-06	0.005803278
WBGene00021936	0.624117661	3.58E-07	0.051548702
WBGene00195212	0.752876643	5.09E-08	-0.142451388
WBGene00007048	0.475403672	-9.45E-06	-0.074068838
WBGene00004482	0.475403672	-9.45E-06	-0.074068838
WBGene00004183	0.629378868	7.88E-06	0.06583961
WBGene00023036	0.740911049	9.39E-06	0.010320577
WBGene00013737	0.464744735	-6.79E-06	0.031029542
WBGene00001397	0.657087246	5.54E-06	0.047428572
WBGene00020978	0.514894105	1.75E-06	-0.034191438
WBGene00003258	0.661023559	-3.92E-06	-0.041445443
WBGene00021834	0.661023559	-3.92E-06	-0.041445443
WBGene00004496	0.742468198	-1.89E-06	-0.025860225
WBGene00015746	0.506166284	-4.61E-07	-0.071563784
WBGene00009842	0.679674813	-1.80E-06	-0.017222594
WBGene00013034	0.4524267	-8.74E-06	0.015751728
WBGene00000863	0.430798847	8.78E-06	0.051918473
WBGene00004681	0.690015718	1.13E-06	-0.010891971
WBGene00022037	0.565301305	-2.07E-06	-0.048044334
WBGene00006372	0.605865992	3.51E-06	0.004146401
WBGene00013453	0.475735458	-5.32E-06	0.019643496
WBGene00013136	0.662661719	6.35E-06	-0.063050291
WBGene00001240	0.585445697	2.24E-06	-0.057730074
WBGene00018482	0.449791019	-1.39E-05	-0.002976939
WBGene00022039	0.695090695	7.56E-06	0.004424403
WBGene00022048	0.486993159	1.53E-05	0.149448281
WBGene00011414	0.948309398	2.63E-06	0.103126664
WBGene00012975	0.613848302	7.84E-07	0.038845179
WBGene00020445	0.840099571	4.41E-06	0.099448994
WBGene00001239	0.572657029	6.81E-06	-0.086056917
WBGene00018446	0.627411716	-1.30E-06	0.094820441
WBGene00004128	0.774736617	1.55E-06	0.012803314
WBGene00000143	0.554080201	5.03E-07	-0.076344329
WBGene00000939	0.554080201	5.03E-07	-0.076344329
WBGene00004483	0.472123479	1.13E-05	-0.252775354
WBGene00015295	0.506522624	9.24E-06	0.138496274
WBGene00012896	0.848600102	-2.97E-06	0.041726033
WBGene00019017	0.60989964	-6.54E-06	0.005951086
WBGene00001259	0.557823456	-1.80E-06	-0.01524243
WBGene00006788	0.647664042	-6.77E-06	0.012563007
WBGene00012961	0.945232148	2.42E-06	0.022736363
WBGene00013160	0.476597899	-6.12E-06	-0.128813948
WBGene00045141	0.476597899	-6.12E-06	-0.128813948
WBGene00004456	0.591824743	8.36E-08	-0.124804497
WBGene00012978	0.591824743	8.36E-08	-0.124804497
WBGene00021500	1.115837907	-5.38E-06	0.000628149
WBGene00011967	0.601188182	-4.05E-06	-0.057900075
WBGene00004752	0.601188182	-4.05E-06	-0.057900075
WBGene00000020	0.489276709	8.60E-06	-0.147628163
WBGene00000777	0.495393959	3.69E-06	0.059183827
WBGene00021552	1.008433886	-7.89E-07	-0.026864802
WBGene00044268	0.609952656	-2.04E-06	0.062392191
WBGene00004965	0.689082558	7.09E-06	0.510232435
WBGene00006342	0.439772286	-7.22E-07	-0.07299482
WBGene00235132	0.396577962	-2.09E-06	-0.085562309
WBGene00002335	0.396577962	-2.09E-06	-0.085562309
WBGene00005002	0.768260328	4.54E-07	0.002003596
WBGene00016653	0.625213962	-3.39E-06	0.020995728
WBGene00012585	0.533604651	7.66E-06	-0.017308208
WBGene00012584	0.533604651	7.66E-06	-0.017308208
WBGene00003044	0.698277196	-5.30E-06	0.023189233
WBGene00016424	0.721198057	4.02E-07	-0.090681947
WBGene00016427	0.721198057	4.02E-07	-0.090681947
WBGene00017724	0.583935965	1.46E-06	0.100351299
WBGene00023068	0.448569296	4.99E-06	-0.028304354
WBGene00003989	0.450502751	-1.26E-05	0.067078497
WBGene00009957	0.719300762	6.14E-06	0.019533243
WBGene00001582	0.395071426	-1.15E-05	-0.045022505
WBGene00004183	0.579096608	8.20E-06	0.365964752
WBGene00001743	0.419520706	-4.76E-06	-0.018655247
WBGene00019458	0.419520706	-4.76E-06	-0.018655247
WBGene00010296	0.607558311	1.13E-05	-0.034155711
WBGene00012328	0.654420052	9.31E-06	-0.008123247
WBGene00015210	0.492095481	-2.88E-07	-0.02366914
WBGene00015216	0.492095481	-2.88E-07	-0.02366914
WBGene00021260	0.667230355	1.52E-06	-0.010436029
WBGene00002222	0.524327431	3.59E-07	-0.072503903
WBGene00008680	0.597474065	9.49E-06	0.064563232
WBGene00014322	0.597474065	9.49E-06	0.064563232
WBGene00018894	0.613677245	1.66E-06	0.029682694
WBGene00006342	0.425861679	-9.09E-06	-0.033238512
WBGene00000478	0.659272421	-2.44E-06	0.089637208
WBGene00020486	0.390345592	-4.18E-07	0.009850475
WBGene00015782	0.390345592	-4.18E-07	0.009850475
WBGene00010263	0.810845726	-1.69E-06	-0.015137213
WBGene00010264	0.810845726	-1.69E-06	-0.015137213
WBGene00016611	0.483546133	6.30E-06	-0.08514697
WBGene00016612	0.483546133	6.30E-06	-0.08514697
WBGene00001394	0.526974925	1.55E-06	-0.049581367
WBGene00007287	0.484878869	-4.42E-06	-0.001157297
WBGene00001946	0.408545318	-4.80E-06	0.040915756
WBGene00004486	0.381550417	-3.65E-07	-0.01804855
WBGene00003277	0.462192713	6.84E-06	0.618880838
WBGene00013323	0.558213923	5.25E-06	0.016039533
WBGene00016562	0.450024256	2.39E-06	0.016309423
WBGene00008639	0.472649005	1.11E-05	-0.123453137
WBGene00021820	0.425249019	1.10E-05	0.007331184
WBGene00017003	0.46116698	2.02E-06	-0.049141286
WBGene00004479	0.46116698	2.02E-06	-0.049141286
WBGene00003619	0.425686114	-2.42E-07	0.003608625
WBGene00022377	0.543380534	5.42E-06	0.037558256
WBGene00015295	0.380264175	-4.68E-07	0.120217832
WBGene00220205	0.741902859	6.00E-06	0.047184648
WBGene00009323	0.480816981	1.13E-05	-0.029812011
WBGene00006875	0.591395831	1.52E-06	0.031033963
WBGene00002957	0.614406476	-5.04E-06	-0.040387093
WBGene00021864	0.556898344	0.521910223	-0.004730199
WBGene00006951	0.372682286	4.39E-06	-0.013473331
WBGene00009431	0.567154653	3.18E-06	-0.289743817
WBGene00008224	0.476779035	7.22E-06	-0.092285608
WBGene00014640	0.480237493	1.74E-06	0.361180638
WBGene00000802	0.355265647	-3.26E-05	-0.32736351
WBGene00004795	0.611377904	8.33E-06	0.065980575
WBGene00021464	0.665961362	6.69E-08	-0.050583481
WBGene00014870	0.65545096	-1.69E-08	0.021692586
WBGene00003581	0.65545096	-1.69E-08	0.021692586
WBGene00005386	0.618175797	2.33E-06	0.10445308
WBGene00001240	0.465287862	-3.87E-06	-0.034481442
WBGene00003408	0.492290728	-8.01E-06	0.052600347
WBGene00017720	0.471884945	3.68E-06	-0.008683636
WBGene00021500	1.076487524	-5.05E-06	0.002166998
WBGene00019713	0.587495352	9.50E-06	-0.145837925
WBGene00019295	0.447698951	-9.03E-06	-0.047140981
WBGene00019296	0.447698951	-9.03E-06	-0.047140981
WBGene00012312	0.525753594	7.35E-06	0.173116612
WBGene00000237	0.668127581	2.81E-06	-0.008221602
WBGene00017654	0.374845167	1.77E-06	0.05631334
WBGene00002222	0.480350066	5.34E-06	-0.142515602
WBGene00019017	0.536835752	-3.90E-06	-0.021164202
WBGene00020743	0.460180286	4.73E-06	-0.056496953
WBGene00001663	0.455196893	2.87E-06	0.038763454
WBGene00023206	0.358532521	-5.77E-06	0.043938922
WBGene00003978	0.358532521	-5.77E-06	0.043938922
WBGene00022493	0.358532521	-5.77E-06	0.043938922
WBGene00006063	0.452402176	-7.58E-06	-0.078508077
WBGene00012961	0.791304019	4.42E-06	0.033828093
WBGene00001914	0.46572926	3.19E-06	0.225132817
WBGene00001912	0.46572926	3.19E-06	0.225132817
WBGene00014207	0.465714813	4.67E-06	0.160655485
WBGene00007855	0.519973256	9.96E-08	0.005143392
WBGene00004046	0.529325388	-1.31E-06	-0.039966765
WBGene00018471	0.529325388	-1.31E-06	-0.039966765
WBGene00004479	0.49192744	-2.08E-06	-0.084976751
WBGene00019122	0.632846614	5.87E-06	-0.011094913
WBGene00235270	0.632846614	5.87E-06	-0.011094913
WBGene00006372	0.475797971	2.61E-06	0.043229869
WBGene00003728	0.478892768	4.51E-06	0.112010148
WBGene00219837	0.478892768	4.51E-06	0.112010148
WBGene00019521	0.460523241	-3.59E-06	-0.028968482
WBGene00001094	0.445270937	-1.96E-06	-0.033391983
WBGene00019521	0.43510609	-6.74E-06	-0.058680978
WBGene00017449	0.466470783	9.39E-06	-0.050039183
WBGene00006692	0.503097467	1.16E-05	0.070979576
WBGene00014729	0.526208777	-6.56E-06	-0.040914781
